小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,-2,西风,1,0,71,133.0
21,-1,西风,1,0,67,133.0
20,0,西风,1,0,55,119.0
19,0,西南风,1,0,57,117.0
18,2,西风,1,0,45,108.0
17,5,西风,1,0,35,100.0
16,6,西风,2,0,33,109.0
15,7,西风,2,0,34,115.0
14,7,西风,2,0,34,105.0
13,6,西风,2,0,35,99.0
12,5,西风,2,0,34,100.0
11,4,西南风,1,0,40,110.0
10,2,西风,1,0,44,117.0
9,0,东北风,0,0,54,110.0
8,-4,东北风,0,0,71,104.0
7,-4,东北风,0,0,72,92.0
6,-5,东北风,0,0,73,87.0
5,-5,东北风,0,0,73,77.0
4,-5,东北风,0,0,71,75.0
3,-5,东北风,0,0,74,80.0
2,-4,东北风,0,0,72,69.0
1,-4,西风,0,0,71,68.0
0,-4,西风,0,0,71,68.0
23,-4,西风,0,0,68,72.0
