小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,3,西风,2,0,69,112.0
21,4,西风,2,0,65,112.0
20,5,西风,1,0,59,100.0
19,5,西风,1,0,56,94.0
18,6,西风,2,0,54,88.0
17,6,西风,1,0,52,90.0
16,7,西风,2,0,49,95.0
15,8,西风,2,0,45,88.0
14,8,西风,3,0,42,84.0
13,8,西风,3,0,43,78.0
12,6,西风,3,0,44,93.0
11,5,西南风,2,0,43,112.0
10,3,西风,2,0,49,130.0
9,0,西南风,1,0,63,143.0
8,-1,西风,1,0,57,138.0
7,-1,西风,1,0,53,115.0
6,-1,西南风,1,0,51,109.0
5,-1,南风,0,0,53,107.0
4,0,西北风,1,0,44,97.0
3,0,西风,1,0,45,93.0
2,0,西风,1,0,50,90.0
1,0,西风,2,0,53,92.0
0,0,西风,1,0,45,88.0
23,1,西风,2,0,44,97.0
