小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,1,西风,2,0.0,40,95.0
21,1,西风,1,0.0,50,95.0
20,2,西风,2,0.0,44,92.0
19,2,西风,2,0.0,41,87.0
18,3,西南风,2,0.0,34,72.0
17,4,西南风,2,0.0,33,64.0
16,5,西风,2,0.0,30,59.0
15,6,西南风,3,0.0,26,55.0
14,6,西风,3,0.0,26,52.0
13,6,西风,2,0.0,31,54.0
12,5,西风,3,0.0,32,60.0
11,4,西南风,3,0.0,43,64.0
10,2,西南风,2,0.0,50,69.0
9,0,西南风,2,0.0,55,66.0
8,0,西南风,2,0.0,57,64.0
7,-2,西南风,2,0.0,60,61.0
6,0,东北风,2,0.0,57,59.0
5,0,东北风,1,0.0,51,59.0
4,0,东北风,1,0.0,51,61.0
3,0,东北风,2,0.0,51,60.0
2,0,东北风,2,0.0,50,59.0
1,0,东北风,2,0.0,48,56.0
0,0,东北风,2,0.0,46,57.0
23,1,东风,2,0.0,46,57.0
