小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,-2,西南风,1,0,89,182.0
21,-2,西南风,1,0,78,182.0
20,-1,西风,1,0,85,165.0
19,0,西南风,1,0,67,155.0
18,1,西南风,1,0,54,148.0
17,4,西南风,1,0,43,134.0
16,7,西南风,1,0,36,137.0
15,7,西风,2,0,37,143.0
14,7,西南风,2,0,40,155.0
13,6,西南风,2,0,43,160.0
12,5,西南风,1,0,47,159.0
11,3,西南风,2,0,57,166.0
10,1,西南风,1,0,68,160.0
9,-1,东风,1,0,95,147.0
8,-6,南风,1,0,95,140.0
7,-6,东风,1,0,92,148.0
6,-6,东北风,1,0,92,144.0
5,-6,北风,1,0,92,145.0
4,-5,东风,1,0,92,143.0
3,-5,东南风,1,0,90,138.0
2,-4,东风,1,0,90,129.0
1,-4,东北风,1,0,92,132.0
0,-4,东北风,1,0,85,125.0
23,-3,东风,1,0,85,127.0
