小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,4,西风,2,0,56,127.0
21,4,西风,2,0,53,127.0
20,4,西风,1,0,54,120.0
19,5,西风,1,0,49,105.0
18,5,西风,2,0,46,103.0
17,6,西风,2,0,44,95.0
16,7,西风,3,0,39,83.0
15,8,西风,2,0,33,77.0
14,8,西风,2,0,31,69.0
13,8,西风,2,0,31,67.0
12,7,西风,3,0,31,69.0
11,6,西风,2,0,30,78.0
10,4,西风,2,0,30,99.0
9,3,西风,2,0,35,102.0
8,2,西风,2,0,35,80.0
7,0,南风,0,0,37,74.0
6,0,西风,1,0,39,73.0
5,0,西风,1,0,35,77.0
4,0,西南风,1,0,35,74.0
3,0,西风,2,0,38,70.0
2,0,西风,2,0,41,70.0
1,0,西风,2,0,37,78.0
0,0,西风,2,0,39,73.0
23,1,西风,2,0,38,73.0
