小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,-2,西南风,1,0,92,132.0
21,-1,东风,1,0,91,132.0
20,-1,东风,1,0,90,134.0
19,0,西风,1,0,85,138.0
18,3,西风,1,0,70,134.0
17,4,西南风,1,0,65,129.0
16,6,西南风,2,0,58,124.0
15,7,西南风,2,0,53,117.0
14,7,西南风,2,0,54,107.0
13,6,西南风,2,0,53,98.0
12,5,西南风,2,0,51,92.0
11,4,西南风,2,0,47,103.0
10,2,南风,1,0,59,105.0
9,-1,东南风,1,0,73,103.0
8,-5,南风,0,0,88,87.0
7,-6,东南风,0,0,89,78.0
6,-5,东风,0,0,86,74.0
5,-5,东风,1,0,84,73.0
4,-5,东南风,1,0,83,74.0
3,-4,东风,1,0,78,73.0
2,-5,东北风,1,0,81,68.0
1,-4,西风,1,0,84,68.0
0,-3,东北风,0,0,80,62.0
23,-3,南风,1,0,81,63.0
