小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,1,东南风,2,0,53,137.0
21,2,东南风,2,0,57,137.0
20,2,东南风,1,0,60,137.0
19,2,东风,2,0,59,132.0
18,4,南风,1,0,53,119.0
17,6,西南风,2,0,45,105.0
16,7,西风,2,0,40,94.0
15,8,西风,2,0,37,88.0
14,9,西南风,2,0,35,93.0
13,7,西风,2,0,42,80.0
12,7,西风,2,0,45,77.0
11,6,西风,2,0,48,73.0
10,5,西南风,2,0,49,76.0
9,4,西南风,2,0,48,77.0
8,3,南风,1,0,47,77.0
7,2,南风,1,0,46,77.0
6,1,东南风,1,0,41,65.0
5,1,东南风,1,0,37,63.0
4,1,东南风,2,0,37,65.0
3,0,东南风,2,0,40,65.0
2,1,东南风,2,0,36,68.0
1,0,东南风,2,0,39,71.0
0,0,东南风,2,0,44,77.0
23,0,东南风,1,0,45,78.0
