小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,1,东南风,1,0,99,98.0
21,2,东南风,1,0,98,98.0
20,3,东风,1,0,94,100.0
19,3,东南风,1,0,84,105.0
18,5,东风,1,0,69,98.0
17,6,西北风,1,0,61,95.0
16,7,西北风,1,0,54,90.0
15,8,西北风,2,0,55,90.0
14,7,西北风,2,0,57,89.0
13,7,西北风,2,0,58,98.0
12,6,西北风,2,0,60,95.0
11,6,西风,2,0,60,95.0
10,5,南风,1,0,62,108.0
9,2,东北风,1,0,67,109.0
8,0,东风,1,0,80,109.0
7,0,西北风,0,0,75,105.0
6,0,北风,1,0,66,105.0
5,1,北风,1,0,61,102.0
4,0,东南风,1,0,66,97.0
3,0,东南风,1,0,67,94.0
2,0,南风,1,0,67,87.0
1,1,东南风,1,0,61,84.0
0,1,东南风,1,0,57,72.0
23,0,东风,1,0,59,70.0
