小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,-1,南风,1,0,80,139.0
21,-2,西南风,1,0,82,139.0
20,-2,西南风,1,0,78,132.0
19,-1,东南风,0,0,74,124.0
18,0,北风,1,0,64,117.0
17,5,北风,1,0,48,108.0
16,8,西北风,1,0,35,90.0
15,9,西北风,2,0,37,87.0
14,9,西风,2,0,41,82.0
13,8,西北风,1,0,43,83.0
12,7,西北风,2,0,41,76.0
11,6,西风,1,0,41,76.0
10,4,南风,1,0,50,76.0
9,0,南风,2,0,61,97.0
8,-2,南风,1,0,69,95.0
7,-4,南风,1,0,76,93.0
6,-3,南风,1,0,70,92.0
5,-4,西南风,2,0,73,93.0
4,-3,南风,2,0,70,97.0
3,-3,西南风,2,0,71,103.0
2,-3,南风,2,0,69,107.0
1,-3,南风,2,0,65,110.0
0,-3,南风,2,0,66,115.0
23,-2,南风,1,0,69,112.0
