小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,-2,西南风,1,0,81,160.0
21,-2,西风,1,0,80,160.0
20,-1,南风,1,0,74,152.0
19,0,西南风,2,0,59,145.0
18,2,西风,2,0,51,134.0
17,4,西风,2,0,42,122.0
16,6,西南风,2,0,37,113.0
15,7,西南风,2,0,35,107.0
14,7,西北风,2,0,36,109.0
13,7,西风,2,0,34,102.0
12,5,西风,2,0,36,92.0
11,4,西南风,2,0,41,102.0
10,2,西南风,1,0,58,127.0
9,-1,西南风,1,0,71,123.0
8,-4,西南风,1,0,88,114.0
7,-6,北风,1,0,85,107.0
6,-5,东风,1,0,88,103.0
5,-6,东北风,1,0,86,94.0
4,-5,东风,1,0,90,92.0
3,-5,北风,1,0,89,90.0
2,-4,东南风,1,0,87,89.0
1,-4,东风,1,0,85,97.0
0,-4,西北风,0,0,76,92.0
23,-3,东南风,1,0,73,90.0
