小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,2,西风,2,0,49,109.0
21,1,南风,1,0,48,109.0
20,1,西南风,1,0,46,110.0
19,2,南风,1,0,44,110.0
18,2,西南风,1,0,40,94.0
17,4,西南风,1,0,32,78.0
16,5,南风,1,0,27,69.0
15,6,西风,2,0,22,62.0
14,6,西风,3,0,23,57.0
13,6,西风,2,0,26,57.0
12,6,南风,2,0,26,60.0
11,4,西风,3,0,35,66.0
10,2,西南风,2,0,52,69.0
9,0,西南风,2,0,54,71.0
8,0,西南风,2,0,58,71.0
7,-1,西南风,2,0,60,65.0
6,0,西南风,2,0,59,61.0
5,0,西南风,2,0,57,60.0
4,0,西南风,1,0,56,60.0
3,0,西南风,2,0,55,60.0
2,0,西南风,2,0,53,62.0
1,0,西南风,2,0,51,61.0
0,0,西南风,2,0,49,62.0
23,0,西南风,2,0,46,61.0
