小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,0,南风,1,0,91,179.0
21,-1,西南风,1,0,92,179.0
20,0,东南风,1,0,85,173.0
19,1,东南风,1,0,87,160.0
18,2,东风,1,0,76,148.0
17,4,南风,2,0,66,145.0
16,6,南风,2,0,60,133.0
15,6,南风,2,0,56,127.0
14,7,西南风,2,0,55,124.0
13,6,南风,2,0,58,119.0
12,5,南风,2,0,60,113.0
11,4,西南风,1,0,65,113.0
10,2,南风,2,0,69,104.0
9,0,西南风,1,0,75,100.0
8,-1,南风,2,0,77,93.0
7,-2,南风,2,0,76,88.0
6,-2,南风,2,0,77,84.0
5,-1,南风,2,0,74,89.0
4,-1,东南风,1,0,76,88.0
3,-2,东南风,1,0,75,89.0
2,0,东风,1,0,67,93.0
1,0,南风,1,0,62,95.0
0,-1,东南风,2,0,77,99.0
23,-1,东风,1,0,75,113.0
