小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,0,东南风,1,0,93,144.0
21,1,西风,1,0,91,144.0
20,2,西南风,1,0,86,138.0
19,3,东南风,1,0,77,138.0
18,4,东南风,1,0,70,130.0
17,5,东南风,1,0,62,130.0
16,7,西南风,1,0,56,130.0
15,7,南风,2,0,52,119.0
14,8,西南风,2,0,49,112.0
13,6,西南风,1,0,56,112.0
12,6,西风,2,0,59,104.0
11,5,西南风,2,0,62,99.0
10,4,西南风,2,0,69,95.0
9,2,东南风,1,0,76,95.0
8,0,东风,1,0,86,90.0
7,0,南风,1,0,84,89.0
6,0,东南风,2,0,79,87.0
5,0,南风,2,0,74,84.0
4,0,东南风,2,0,75,85.0
3,0,东南风,1,0,69,89.0
2,0,东南风,2,0,70,89.0
1,0,东南风,1,0,67,87.0
0,0,东南风,2,0,62,92.0
23,0,东南风,1,0,60,88.0
