小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,5,西风,2,0,51,107.0
21,5,西风,2,0,50,107.0
20,5,西风,1,0,47,102.0
19,5,西风,1,0,46,94.0
18,6,西风,2,0,45,93.0
17,6,西北风,2,0,42,85.0
16,7,西北风,2,0,36,83.0
15,7,西北风,2,0,35,80.0
14,7,西北风,2,0,37,78.0
13,6,西北风,2,0,39,82.0
12,5,西北风,2,0,37,82.0
11,4,西风,2,0,34,82.0
10,3,西北风,2,0,45,88.0
9,2,西北风,2,0,45,85.0
8,0,西北风,1,0,48,85.0
7,0,东北风,1,0,59,84.0
6,1,北风,2,0,63,77.0
5,1,西北风,2,0,62,73.0
4,1,西北风,2,0,59,73.0
3,1,西北风,2,0,55,76.0
2,1,北风,2,0,49,76.0
1,1,西北风,2,0,52,72.0
0,2,西北风,2,0,51,67.0
23,3,西风,2,0,40,67.0
